Title,Date,Comment,value
"브리지 국대로 출전한 현대家 며느리 “전력은 약하지만, 태극마크에 책임감 느껴요”[항저우AG]",2023.09.27.,힘내세요 응원합니다!,1
"브리지 국대로 출전한 현대家 며느리 “전력은 약하지만, 태극마크에 책임감 느껴요”[항저우AG]",2023.09.27.,저게 스포츠야? 카드게임이야?,0
"브리지 국대로 출전한 현대家 며느리 “전력은 약하지만, 태극마크에 책임감 느껴요”[항저우AG]",2023.09.27.,부럽다. 저 나이에도 팔팔한 청춘들 속에서 도전의 기회를 잡을 수 있다니!,1
"브리지 국대로 출전한 현대家 며느리 “전력은 약하지만, 태극마크에 책임감 느껴요”[항저우AG]",2023.09.27.,누구신지?,1
"브리지 국대로 출전한 현대家 며느리 “전력은 약하지만, 태극마크에 책임감 느껴요”[항저우AG]",2023.09.27.,현대가에서 나서서 한가발 가발벗겨주소 ~~~~,0
中 당국은 규제하는데…탁구도 제친 e스포츠 인기,2023.10.04.,"많은 분들이 오해하는 게 올림픽 주관단체인 IOC는 쿠베르탱의 정신 아래 스포츠 종목만을 엄격하게 채택하지만 아시안게임은 올림픽과 달리 게임을 하는 행사입니다 물론 주관단체가 OCA로 올림픽과 관련은 있지만 초창기 일부 아시아 국가들 간의 합의로 독립적으로 설립된 기구이며 스포츠가 아닌 종목들도 아시아인들의 화합과 축제를 위해 폭넓게 정식 종목으로 채택하는 경향이 있어서 아시안게임에는 올림픽 종목은 꿈도 꾸지 못하는 게임(바둑, 체스, 당구, 전자 오락 등)들도 무수히 많이 정식 종목으로 채택되어 있습니다",0
中 당국은 규제하는데…탁구도 제친 e스포츠 인기,2023.10.04.,솔직히 바둑이나 e스포츠나 둘다 게임아님?ㅋㅋㅋㅋㅋ,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,어릴땐 엄마한테 지금은 와이프한테 맞아온 수많은 등짝스매싱을 견딘 그대~ 우승할 자격이 있다,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,금메달은 한명이지 그것도 아시아 46억명 중에서,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,"저희 딸도 제 눈치 보면서 밤새 게임했는데, 지금은 규모 큰 게임회사 잘 다닙니다.",0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,엄마...올림픽 경기 연습하고 있어요....,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,그래도 이건 운동이 아니다. E게임 대회는 따로 얼마든지 있는데. 정통 육체를 쓰는 올림픽에 게임 스틱질끼는건 반대. 나도 콘솔게임 마니아이지만 이 둘의 영역은 구별 되어야한다,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,하지만 여성부에선 게임을 마약으로 생각하고 있지,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,나랑 동갑인데 ㅎㅎ여전히 그 시대의 피터팬으로 남아 꿈을 이루었네요. 축하합니다.,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,김관우 선수 결승전 승부를 손에 땀을 쥐며 봤습니다. 상대방의 공격을 잘 방어하면서 차근차근 데미지를 주는 전술이 대단하더군요. 정말 명승부였습니다. 한국 e 스포츠 역사상 첫 번째 금메달의 주인공이 되신 걸 진심으로 축하합니다!!,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.10.01.,학생때 게임좋아하는 애들이 대기업에 취업해 연봉많이받고 또래 친구보다 훨씬 잘되있더라,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,게임 때문에 자퇴하고 혼자 방구석에서 폐인되는 문제아들 책임질거 아니면 저런 기사 제목으로 애들 현혹하지 마라,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,난 개인전 잘하는데 배그는 꼭 팀전뿐임.,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,동네형들 눈치본적은 없구 오락실 사장님이 자꾸와서 모나미볼펜으로 툭툭 건드리며 경계하긴했다. 오락실이름은 개미오락실,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,"그래, 나도 금메달을 딸수있었어.. 엄마의 등짝스매싱과. 와이프의 잔소리만 아니였으면.. 나 은지원한테도 이겼는데..금메달이었는데..보글보글도 대회에 있음 좋겠다. 테트리스도..",1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,스트리터 파이터ㅋ 생각나는 아줌마 추가요ㅎㅎ,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,대한민국 국민은 법률에 정한대로 누구나 대통령이 될수있다는 말과 똑같은 것,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,라데꾸~~ 요가빠이어~~,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,"모든 아이들이 다 게임에 빠져도 되는것처럼 기사를 쓰네. 그럼 아이든, 어른이든 왜 게임중독이 있는거야? 자기스스로 그만둘수 있고, 조절할수 있어야 중독이 안되는데, 대부분의 아이들이 조절력이 미숙한데 그게 되냐고ㅡ 게임많이 해서 어른되서 잘큰 케이스가 얼마나 된다고ㅡ",0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,이건 별도의 대회로 치뤘어야지..이건 스포츠가 아니라 그냥게임.,0
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.29.,애들 게임 잘하는것도 능력이다 어릴때부터 게임잘하는애들커서 거의 전자대기업에 취업했다 공부 잘하는것보다 게임 잘하는 애들이 훨씬 취업이잘된다,1
게임한다고 너무 뭐라 하지 마세요 언젠가 金 따올 수 있어요,2023.09.28.,그냥 멍멍소리.,0
